customer_id  city  aum       product_count  monthly_txn_count  active_days
-----------  ----  --------  -------------  -----------------  -----------
C048165      深圳    198652.0  1              1                  2          
C005955      西安    197662.0  3              1                  2          
C021525      成都    196492.0  2              1                  2          
C001545      深圳    194872.0  3              1                  2          
C030435      成都    194782.0  2              1                  2          
C017115      西安    193702.0  2              1                  2          
C046005      北京    193612.0  1              1                  2          
C026025      西安    191992.0  2              1                  2          
C041595      成都    190822.0  1              1                  2          
C037185      西安    188032.0  1              1                  2          
C046095      深圳    186322.0  1              1                  2          
C010545      成都    185872.0  2              1                  2          
C019455      成都    184162.0  2              1                  2          
C006135      西安    183082.0  2              1                  2          
C035025      北京    182992.0  1              1                  2          
C015045      西安    181372.0  2              1                  2          
C043935      北京    181282.0  1              1                  2          
C001725      深圳    180292.0  2              1                  2          
C030615      成都    180202.0  1              1                  2          
C010635      深圳    178582.0  2              1                  2          
